"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",3196.15236272582,63.323792992195,63.323792992195
"Dim.2",486.486579974509,9.63851906531571,72.9623120575107
"Dim.3",378.89394152947,7.50683909791669,80.4691511554274
"Dim.4",200.3341429014,3.96912172970938,84.4382728851368
"Dim.5",144.055741572285,2.85410547539753,87.2923783605343
"Dim.6",128.723021663662,2.55032584560764,89.8427042061419
"Dim.7",86.5581074856551,1.71493316280554,91.5576373689475
"Dim.8",66.1229318844088,1.31006109080304,92.8676984597505
"Dim.9",47.4387088075834,0.939879779006057,93.8075782387566
"Dim.10",39.5339889334739,0.783267456387462,94.5908456951441
"Dim.11",28.461274262829,0.563889212770948,95.154734907915
"Dim.12",27.0619094676196,0.536164287124152,95.6908991950392
"Dim.13",24.5195702765445,0.485794172567323,96.1766933676065
"Dim.14",20.2380587390894,0.400966692672003,96.5776600602785
"Dim.15",18.3082254450415,0.36273185585793,96.9403919161364
"Dim.16",14.1637467472464,0.280619340140464,97.2210112562769
"Dim.17",13.7250017155845,0.271926700864151,97.492937957141
"Dim.18",11.0512609648156,0.218953191906622,97.7118911490476
"Dim.19",9.16480536133897,0.181577775916865,97.8934689249645
"Dim.20",8.86924678025978,0.175722019281607,98.0691909442461
"Dim.21",7.94999879542998,0.157509411591588,98.2267003558377
"Dim.22",7.35829940710377,0.145786362960695,98.3724867187984
"Dim.23",6.70554525920863,0.132853666441542,98.5053403852399
"Dim.24",6.52677251500288,0.129311730087457,98.6346521153274
"Dim.25",6.03517281705855,0.119571907333481,98.7542240226609
"Dim.26",5.25152761120497,0.104045930733142,98.858269953394
"Dim.27",5.19618003376536,0.10294935643422,98.9612193098282
"Dim.28",4.49613281203454,0.0890796655300487,99.0502989753583
"Dim.29",3.56816440134923,0.0706942843364508,99.1209932596947
"Dim.30",3.42349959861319,0.0678281118321147,99.1888213715269
"Dim.31",3.20943421001469,0.0635869396926098,99.2524083112195
"Dim.32",2.99176571847824,0.0592743810487464,99.3116826922682
"Dim.33",2.66643459141628,0.052828755619795,99.364511447888
"Dim.34",2.49525692354074,0.0494372967732608,99.4139487446613
"Dim.35",2.34582548836143,0.0464766853273937,99.4604254299887
"Dim.36",2.25477942765697,0.0446728345573112,99.505098264546
"Dim.37",2.16088935033328,0.0428126366863324,99.5479109012323
"Dim.38",1.97870789300515,0.0392031651775885,99.5871140664099
"Dim.39",1.70692539897839,0.0338184724478668,99.6209325388578
"Dim.40",1.62953048447527,0.0322850851157108,99.6532176239735
"Dim.41",1.59954874997371,0.0316910717728973,99.6849086957464
"Dim.42",1.49411409551492,0.0296021468796365,99.714510842626
"Dim.43",1.33475823718603,0.0264449077246464,99.7409557503507
"Dim.44",1.25429875202589,0.0248508035630432,99.7658065539137
"Dim.45",1.22308979425944,0.0242324758499616,99.7900390297636
"Dim.46",1.12819010605028,0.0223522750556365,99.8123913048193
"Dim.47",0.992126510273239,0.019656514029585,99.8320478188489
"Dim.48",0.928843283521622,0.0184027146183204,99.8504505334672
"Dim.49",0.909216501953709,0.0180138588592509,99.8684643923264
"Dim.50",0.824871356432247,0.0163427700221898,99.8848071623486
"Dim.51",0.785577289688805,0.0155642560260169,99.9003714183746
"Dim.52",0.679869006186586,0.0134699098552524,99.9138413282299
"Dim.53",0.635166468306508,0.0125842404835552,99.9264255687135
"Dim.54",0.548200596624072,0.0108612284895,99.937286797203
"Dim.55",0.483550747464452,0.00958035286138418,99.9468671500643
"Dim.56",0.461723805865406,0.00914790641496634,99.9560150564793
"Dim.57",0.392288774744731,0.00777222433285735,99.9637872808122
"Dim.58",0.359951453643352,0.00713154091262156,99.9709188217248
"Dim.59",0.320116966094028,0.00634231982512238,99.9772611415499
"Dim.60",0.292160468350369,0.00578843150097616,99.9830495730509
"Dim.61",0.249744638174049,0.00494806754304934,99.9879976405939
"Dim.62",0.206409490472375,0.00408948959966036,99.9920871301936
"Dim.63",0.168078342302965,0.00333005343505811,99.9954171836287
"Dim.64",0.146075387076399,0.00289411971730653,99.998311303346
"Dim.65",0.07427633004458,0.00147160035385535,99.9997829036998
"Dim.66",0.00987755555974,0.000195699144642917,99.9999786028445
"Dim.67",0.00107998219896096,2.13971555298241e-05,100
