,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
AMP,0.18,0.153,-0.195,0.324,0,-0.016
ANDC,0.332,-0.093,-0.36,0.179,0.07,0.173
AWL,-0.894,0.042,0.047,-0.016,0.202,-0.068
BEMA,0.585,0.621,-0.284,0.091,0.05,-0.033
BYPA,-0.451,0.062,-0.004,-0.051,0.263,0.028
CAUS,0.347,0.145,-0.011,0.142,0.04,-0.018
CONC,-0.034,0.034,-0.15,0.029,-0.148,0.005
COND,0.418,-0.055,0.332,0.103,0.018,-0.253
CONJ,-0.461,0.172,-0.15,0.194,0.334,-0.079
CONT,0.954,-0.011,-0.032,-0.058,-0.058,-0.081
DEMO,0.215,-0.022,-0.057,0.653,0.105,-0.03
DEMP,0.723,-0.033,-0.083,0.266,0.046,-0.06
DPAR,0.723,-0.082,-0.043,0.028,-0.041,0.042
DWNT,-0.369,0.215,-0.005,0.012,-0.077,-0.035
EMPH,0.615,0.311,-0.193,-0.084,-0.072,-0.028
EX,0.348,-0.12,-0.021,0.346,-0.077,-0.028
FPP1,0.714,0.131,0.021,-0.022,0.023,0.143
GER,-0.291,-0.051,0.019,-0.154,-0.025,-0.135
HDG,0.772,-0.027,-0.036,-0.119,0.091,-0.037
INPR,-0.053,0.066,0.106,0.126,-0.288,0.106
JJ,-0.793,0.3,-0.174,-0.08,0.041,-0.168
NEMD,-0.062,0.057,0.216,0.171,0.149,-0.091
NN,-0.768,-0.204,0.026,-0.288,-0.108,-0.09
NOMZ,-0.622,-0.027,0.091,0.168,0.493,-0.121
OSUB,-0.161,0.073,0.025,0.012,-0.013,-0.066
PASS,-0.448,-0.015,0.035,0.1,0.392,0.062
PASTP,-0.263,-0.309,-0.1,0.121,-0.047,0.103
PEAS,-0.559,0.189,0.175,0.071,-0.131,0.168
PHC,-0.657,0.291,-0.184,-0.107,0.181,-0.003
PIN,-0.914,-0.109,-0.056,0.144,-0.006,-0.015
PIRE,-0.316,0.02,-0.057,0.12,0.329,0.02
PIT,0.687,0.016,-0.163,0.058,-0.177,-0.082
PLACE,-0.222,-0.171,-0.053,-0.046,-0.522,-0.011
POMD,0.253,-0.046,0.292,0.058,0.048,-0.197
PRED,0.214,0.76,-0.228,0.005,0.184,0.02
PRESP,-0.199,-0.16,-0.037,-0.185,-0.165,-0.008
PRIV,0.859,0.176,0.097,-0.1,0.234,0.089
PRMD,0.215,-0.132,0.429,0.056,-0.09,-0.109
PROD,0.643,-0.017,0.036,0.067,0.013,-0.031
PUBV,0.033,-0.233,0.738,-0.103,-0.018,0.211
RB,0.507,0.342,-0.14,0.153,-0.245,0.01
SERE,-0.253,0.024,-0.061,-0.152,0.036,-0.017
SMP,-0.19,0.234,-0.019,0.021,-0.119,0.06
SPAU,-0.313,0.319,0.074,0.068,0.049,-0.015
SPIN,-0.021,0.123,0.005,0.032,0.014,-0.081
SPP2,0.774,-0.043,0.069,0.03,0.126,-0.065
STPR,0.523,-0.377,-0.053,0.311,-0.125,-0.029
SUAV,-0.241,-0.179,0.51,0.222,0.07,-0.012
SYNE,-0.014,0.226,0.185,0.061,-0.098,0.063
THAC,-0.098,0.164,0.021,0.351,0.033,0
THATD,0.814,0.056,0.301,-0.268,0.085,0.111
THVC,-0.059,-0.026,0.293,0.332,0.177,0.125
TIME,-0.096,-0.171,0.141,-0.083,-0.436,0.035
TO,0.046,-0.005,0.378,0.232,-0.077,-0.18
TOBJ,-0.167,-0.011,0.224,0.467,0.071,0.09
TPP3,0.257,0.084,0.119,0.005,-0.217,0.352
TSUB,-0.35,0.174,0.059,0.1,-0.005,-0.007
TTR,-0.787,0.202,0.054,-0.25,-0.197,-0.048
VBD,0.077,0.009,0.114,-0.006,-0.083,0.984
VPRT,0.788,0.186,-0.06,-0.008,0.003,-0.499
WHCL,0.669,0.107,0.222,-0.13,0.123,0.057
WHOBJ,-0.095,-0.008,-0.017,0.288,0.021,0.009
WHQU,0.456,0.224,0.031,-0.023,0.027,0.129
WHSUB,-0.312,0.124,0.111,0.21,0.023,0.047
WZPAST,-0.49,-0.043,0.04,-0.068,0.34,0.026
WZPRES,-0.065,-0.11,0.053,-0.088,-0.154,-0.154
XX0,0.714,0.285,0.171,0.029,0.047,0.106
