"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7"
"AMP",0.181,0.096,0.329,0.007,-0.084,-0.154,-0.015
"ANDC",0.317,-0.144,0.134,0.065,-0.166,-0.288,0.196
"AWL",-0.892,0.075,0.013,0.208,-0.031,0.047,-0.08
"BEMA",0.631,0.499,0.115,0.029,-0.175,-0.125,-0.117
"BYPA",-0.443,0.073,-0.003,0.253,-0.143,0.074,-0.019
"CAUS",0.361,0.121,0.161,0.031,-0.046,0.032,-0.081
"CONC",-0.029,0.042,0.042,-0.142,-0.142,-0.08,0.014
"COND",0.399,-0.063,0.03,0.019,0.53,0.06,-0.188
"CONJ",-0.46,0.17,0.19,0.338,-0.039,-0.173,-0.048
"CONT",0.951,-0.065,-0.061,-0.06,0.021,0.01,-0.093
"DEMO",0.196,-0.054,0.652,0.114,0.025,-0.118,-0.039
"DEMP",0.706,-0.105,0.265,0.042,0.003,-0.058,-0.087
"DPAR",0.704,-0.122,0.034,-0.029,-0.009,-0.044,0.087
"DWNT",-0.352,0.24,-0.018,-0.073,0.084,-0.075,-0.017
"EMPH",0.633,0.258,-0.124,-0.068,0.014,-0.188,0.001
"EX",0.335,-0.15,0.32,-0.091,0.045,-0.031,-0.095
"FPP1",0.726,0.118,-0.055,0.041,0.108,-0.076,0.204
"GER",-0.297,-0.031,-0.181,-0.01,0.113,-0.042,-0.075
"HDG",0.771,-0.066,-0.114,0.094,-0.033,0.021,-0.046
"INPR",-0.038,0.099,0.14,-0.292,-0.014,0.096,0.053
"JJ",-0.772,0.315,-0.081,0.053,-0.077,-0.141,-0.16
"NEMD",-0.077,0.062,0.179,0.166,0.244,0.036,0.006
"NN",-0.774,-0.17,-0.245,-0.118,-0.173,0.17,-0.129
"NOMZ",-0.641,-0.032,0.181,0.505,0.113,-0.004,-0.097
"OSUB",-0.155,0.093,-0.029,-0.017,0.142,-0.056,-0.027
"PASS",-0.457,-0.026,0.124,0.373,-0.035,0.027,0.037
"PASTP",-0.292,-0.3,0.118,-0.043,-0.097,-0.07,0.124
"PEAS",-0.532,0.252,0.097,-0.128,0.014,0.123,0.136
"PHC",-0.634,0.296,-0.092,0.187,-0.162,-0.12,0.001
"PIN",-0.924,-0.065,0.145,0.001,-0.061,-0.065,0.006
"PIRE",-0.318,0.027,0.104,0.327,0.002,-0.097,0.035
"PIT",0.685,-0.039,0.025,-0.179,-0.002,-0.126,-0.097
"PLACE",-0.227,-0.126,-0.09,-0.514,0.03,-0.072,0.008
"POMD",0.228,-0.036,-0.036,0.064,0.562,-0.038,-0.051
"PRED",0.267,0.652,0.046,0.17,-0.15,-0.112,-0.012
"PRESP",-0.207,-0.117,-0.206,-0.151,0.003,-0.046,0.042
"PRIV",0.885,0.167,-0.072,0.248,-0.024,0.105,0.064
"PRMD",0.172,-0.119,0.018,-0.06,0.567,0.076,0.105
"PROD",0.636,-0.048,0.021,0.007,0.175,-0.05,-0.013
"PUBV",0.048,-0.169,0.035,-0.048,0.088,0.795,0.057
"RB",0.528,0.335,0.072,-0.246,0.155,-0.26,0.052
"SERE",-0.246,0.047,-0.178,0.038,0.009,-0.068,0.017
"SMP",-0.166,0.261,0.045,-0.111,-0.083,-0.003,0.046
"SPAU",-0.297,0.35,0.033,0.06,0.207,-0.093,0.06
"SPIN",-0.02,0.117,0.013,0.023,0.109,-0.066,-0.039
"SPP2",0.772,-0.074,-0.035,0.123,0.229,-0.037,-0.06
"STPR",0.483,-0.426,0.32,-0.127,-0.039,-0.002,-0.061
"SUAV",-0.257,-0.124,0.248,0.066,0.314,0.315,-0.023
"SYNE",0.004,0.244,0.078,-0.099,0.091,0.108,0.052
"THAC",-0.101,0.13,0.357,0.038,0.076,-0.048,0.024
"THATD",0.839,0.06,-0.186,0.091,-0.034,0.366,0.054
"THVC",-0.057,-0.002,0.421,0.179,0.001,0.282,0.063
"TIME",-0.103,-0.129,-0.063,-0.421,0.026,0.133,0.05
"TO",0.03,0.021,0.22,-0.059,0.42,0.12,-0.104
"TOBJ",-0.176,0.001,0.527,0.072,0.05,0.156,0.063
"TPP3",0.292,0.126,0.106,-0.245,-0.286,0.286,0.214
"TSUB",-0.331,0.19,0.1,-0.013,0.036,0.036,-0.07
"TTR",-0.766,0.262,-0.255,-0.185,0.05,0.007,-0.008
"VBD",0.09,0.012,-0.003,-0.133,-0.161,0.108,0.843
"VPRT",0.831,0.163,0.029,0.005,-0.091,0.122,-0.617
"WHCL",0.691,0.117,-0.099,0.119,0.05,0.211,0.008
"WHOBJ",-0.097,-0.006,0.3,0.017,-0.041,-0.008,-0.022
"WHQU",0.475,0.198,-0.025,0.017,0.029,0.01,0.098
"WHSUB",-0.292,0.153,0.26,0.009,-0.08,0.144,-0.052
"WZPAST",-0.498,-0.029,-0.063,0.332,0.001,0.009,0.032
"WZPRES",-0.072,-0.088,-0.093,-0.146,0.054,0.033,-0.151
"XX0",0.731,0.254,0.046,0.043,0.123,0.091,0.096
