Factor 1,tag,Factor 2,tag,Factor 3,tag,Factor 4,tags,,,
0.317,ANDC,0.499,BEMA,0.329,AMP,0.338,CONJ,,,
-0.892,AWL,0.315,JJ,0.652,DEMO,0.505,NOMZ,,,
0.631,BEMA,0.652,PRED,0.32,EX,0.373,PASS,,,
-0.443,BYPA,0.335,RB,0.32,STPR,0.327,PIRE,,,
0.361,CAUS,0.35,SPAU,0.357,THAC,-0.514,PLACE,,,
0.399,COND,-0.426,STPR,0.421,THVC,-0.421,TIME,,,
-0.46,CONJ,,,0.527,TOBJ,0.332,WZPAST,,,
0.951,CONT,,,,,,,,,
0.706,DEMP,,,,,,,,,
0.704,DPAR,,,,,,,,,
-0.352,DWNT,,,,,,,,,
0.633,EMPH,,,,,,,,,
0.335,EX,,,,,,,,,
0.726,FPP1,,,,,,,,,
0.771,HDG,,,,,,,,,
-0.772,JJ,,,,,,,,,
-0.774,NN,,,,,,,,,
-0.641,NOMZ,,Factor 5,tag,,Factor 6,tags,,Factor 7,tag
-0.457,PASS,,0.53,COND,,0.795,PUBV,,0.843,VBD
-0.532,PEAS,,0.562,POMD,,0.315,SUAV,,-0.617,VPRT
-0.634,PHC,,0.567,PRMD,,0.366,THATD,,,
-0.924,PIN,,0.314,SUAV,,,,,,
-0.318,PIRE,,0.42,TO,,,,,,
0.685,PIT,,Overt expression of persuasion,,,,,,,
0.885,PRIV,,,,,,,,,
0.636,PROD,,,,,,,,,
0.528,RB,,,,,,,,,
0.772,SPP2,,,,,,,,,
0.483,STPR,,,,,,,,,
0.839,THATD,,,,,,,,,
-0.331,TSUB,,,,,,,,,
-0.766,TTR,,,,,,,,,
0.831,VPRT,,,,,,,,,
0.691,WHCL,,,,,,,,,
0.475,WHQU,,,,,,,,,
-0.498,WZPAST,,,,,,,,,
0.731,XX0,,,,,,,,,
informational vs. involved,,,,,,,,,,
