"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"AMP",1,660,1.99690826213761,1.62151262407671,1.74140215851991,1.81781983028899,1.3800047104973,0,12.1616320125539,12.1616320125539,1.52355223711824,4.34889969630036,0.0631172932894148
"ANDC",2,660,6.38403757083846,3.76333892588238,5.87686279098872,6.05186647260783,3.73716849038086,0,20.1149425287356,20.1149425287356,0.775518017060934,0.328952621749838,0.146487769016069
"AWL",3,660,4.40013309999502,0.511482260251153,4.510953642285,4.40153029740773,0.60037624787364,3.41537094625,5.69031682285,2.2749458766,-0.105899783553784,-1.05730061549557,0.0199094199781436
"BEMA",4,660,18.0727240064307,6.21108790901517,18.0105652580537,17.9649357581778,6.95242787356209,2.615518744551,38.5633270321361,35.9478082875851,0.157249968925147,-0.41262725273181,0.241766268963136
"BYPA",5,660,0.642168359246895,0.749905821366306,0.41373631969818,0.516288645107824,0.613405467584521,0,5.11006289308176,5.11006289308176,1.61350316179558,3.78587065734071,0.0291900445077124
"CAUS",6,660,1.48484485177482,1.28057664496345,1.21580951479962,1.3247481281682,1.18506647527165,0,8.35322195704057,8.35322195704057,1.21393397395043,1.95128365489398,0.0498463783010974
"CONC",7,660,0.539670095231625,0.61549296157296,0.404203982830643,0.433516143030167,0.599272824944712,0,3.94563787812363,3.94563787812363,1.62143257717167,3.59446576642222,0.0239580310361699
"COND",8,660,2.78798394583848,2.22252805258524,2.33599456738399,2.53108868502209,1.90253161117658,0,15.85414189457,15.85414189457,1.64032817024687,4.97037089182786,0.0865117871153488
"CONJ",9,660,1.45933077001255,1.51652819614041,0.877964648240843,1.20257943355139,1.30167038748187,0,8.50202429149797,8.50202429149797,1.48283529160069,2.14502139633946,0.0590307799743244
"CONT",10,660,18.2524780237422,15.9583481268083,12.457249464837,16.8294293669246,16.5001141727142,0,58.9604344453064,58.9604344453064,0.635069281169931,-0.920449133402326,0.621177858364115
"DEMO",11,660,9.27762829285068,4.20636795334364,8.70997396411076,8.98581176682251,3.95989326677408,0.435540069686411,28.4974093264249,28.0618692567385,0.707431442759064,0.633929011662665,0.163732650521644
"DEMP",12,660,6.77250564091252,4.48125090673364,5.98086980161541,6.35762177392777,4.52395370268354,0,24.6866691986327,24.6866691986327,0.83188275973375,0.308675517656182,0.17443245497075
"DPAR",13,660,1.53327319319989,1.93187967947937,0.734639755330557,1.1680071917533,1.08917690125308,0,8.52483320978503,8.52483320978503,1.46551451269024,1.45678979886131,0.0751983145360897
"DWNT",14,660,1.63062244884842,1.16737175635113,1.48177829863089,1.53748147132164,1.0702881103554,0,10.36866359447,10.36866359447,1.43667756763033,5.72169993282257,0.0454398839881667
"EMPH",15,660,7.84990470812993,4.2855982777595,7.12919704537573,7.47519754513571,4.08906740948334,0,22.0532319391635,22.0532319391635,0.770483667413141,0.235916456520269,0.166816686716811
"EX",16,660,2.45644693609006,1.90068102994497,2.05549854522249,2.23565027717582,1.49331052384822,0,10.3792415169661,10.3792415169661,1.35044978826872,2.38362103473428,0.0739839087499996
"FPP1",17,660,23.3252646759219,18.6210528423375,18.3608058555602,21.5828143091332,20.199348193238,0,88.3639545056868,88.3639545056868,0.663493962703215,-0.505655246342218,0.724823498846784
"GER",18,660,4.06683863311892,2.74225105839658,3.43262631099772,3.74277362376454,2.24015474966105,0,19.4295163290616,19.4295163290616,1.48099197712305,3.62425369882308,0.106741977679378
"HDG",19,660,1.06139928264033,1.56650053989137,0.412711795841371,0.7253085893993,0.611886508514416,0,12.4748490945674,12.4748490945674,2.22059126427719,6.77421220558907,0.0609759508166944
"INPR",20,660,0.509090835202791,0.655010319820954,0.382410575882542,0.383267716077322,0.566961919803457,0,3.8259206121473,3.8259206121473,1.76909755680891,3.55937392396607,0.0254962421197757
"JJ",21,660,53.4017979494696,20.0247157484165,52.532637293624,52.8334706222993,24.5944643772424,14.1545524100995,112.031386224935,97.8768338148351,0.187417256705729,-0.873152879421443,0.779461003363843
"NEMD",22,660,1.59114392066645,1.79419407840913,1.15185260532298,1.28846088682593,1.12126478659099,0,15.8259149357072,15.8259149357072,3.02148846920179,14.7789967436625,0.0698389097831182
"NN",23,660,203.213180729183,41.6733984229537,203.202680273656,202.039236292182,46.7941787626651,114.27441676552,345.714285714286,231.439868948766,0.223830307065182,-0.531628339850586,1.6221348335946
"NOMZ",24,660,19.097937096789,13.0621961228861,17.7103170157948,17.8636718668887,13.5347944719406,0.377358490566038,78.4655623365301,78.088203845964,0.941508855918627,1.23002168315668,0.508445294504878
"OSUB",25,660,1.28220877864148,1.07921738096457,1.15185260532298,1.15755768721711,1.05867154763419,0,9.28661882650908,9.28661882650908,1.65962537011305,6.08830669407672,0.0420084795800839
"PASS",26,660,6.3465262527874,3.89413538635765,5.66756177830477,5.88658843596337,3.11358861289008,0,33.4158415841584,33.4158415841584,2.05842184449296,8.35358833497712,0.151579014335073
"PASTP",27,660,0.490769160856784,0.607322660795884,0.382848616497668,0.386231550764328,0.567611358819443,0,5.11945392491468,5.11945392491468,2.04301275821451,7.55640258261399,0.0236400025097481
"PEAS",28,660,4.39945115766951,2.92277045432019,3.93693797658254,4.12793766028026,2.89661719596804,0,17.4129353233831,17.4129353233831,0.981672601378324,1.34638288675008,0.113768685635738
"PHC",29,660,6.23771343182935,4.01499887744399,5.73691857968113,5.83619358196637,4.04688662538455,0,23.9520958083832,23.9520958083832,0.969178386068619,1.0952424955055,0.156283619344992
"PIN",30,660,81.6332912731486,22.079873251523,84.8172072475375,82.1601427600999,22.2066640346033,33.5176226675881,154.436860068259,120.919237400671,-0.19898959240429,-0.492909608416559,0.859457900676545
"PIRE",31,660,0.400987362236775,0.587836780500925,0,0.280776034620655,0,0,3.6101083032491,3.6101083032491,2.0627218209455,5.16155982727314,0.022881515647964
"PIT",32,660,13.6752392501628,7.64030190103593,12.1595537398469,13.0250676210321,7.13259570898368,0,39.1224862888483,39.1224862888483,0.732659982063268,0.0564272077114052,0.297398348151587
"PLACE",33,660,2.89089913325807,2.32961144817559,2.33463353142391,2.57680708125844,1.74809374171809,0,15.8465387823186,15.8465387823186,1.71919416594837,4.39058463019982,0.0906800026355647
"POMD",34,660,5.02934762428725,2.649751683738,4.80319888998211,4.79441383926067,2.41783214587353,0,16.8429298864081,16.8429298864081,1.01172062837937,1.79126544524062,0.103141444404013
"PRED",35,660,6.33820501744656,2.826968124277,5.97751203117498,6.15705699120616,2.7256688821305,0,20.3619909502262,20.3619909502262,0.76949639815933,1.03422816846802,0.110039584996396
"PRESP",36,660,1.10747421133713,1.06971887638863,0.831255338941255,0.946661902185333,0.672418666174147,0,7.38916256157635,7.38916256157635,2.03938412299579,6.30885163097676,0.0416387507909101
"PRIV",37,660,15.3181083871162,8.44648887491545,13.2010990016583,14.3382371096651,6.81732701589961,1.22100122100122,60.8272506082725,59.6062493872713,1.38089870547905,2.91746022793386,0.328779133549686
"PRMD",38,660,6.48597006512922,3.75043829383184,6.03454946855725,6.18108574990104,3.4779446684973,0,26.0521042084168,26.0521042084168,0.979955721896367,1.86859888228983,0.145985612594552
"PROD",39,660,1.88801152770009,1.89490522546967,1.2768688642905,1.59464380513888,1.34987631981495,0,13.2450331125828,13.2450331125828,1.74807230922989,4.66977354743848,0.0737590858657145
"PUBV",40,660,5.96063431331985,4.14343542481154,5.16753204448441,5.39585108605501,3.10516950592456,0,26.7934312878133,26.7934312878133,1.6471638484315,3.85297996397797,0.161283005170862
"RB",41,660,32.284117185532,9.36621924199398,33.188749671756,32.4214902544309,9.33537731927428,6.53879686137751,58.477381390217,51.9385845288395,-0.133166926398375,-0.242262302189202,0.364579589533883
"SERE",42,660,0.532315839438218,0.801290625312901,0.348215800194938,0.360427747799034,0.516264745369015,0,6.53879686137751,6.53879686137751,2.55994669290988,9.26600252760592,0.031190195288631
"SMP",43,660,0.652727083187336,0.774328816940659,0.420966264219019,0.510116259237888,0.624124583331118,0,4.84261501210654,4.84261501210654,1.91007544049036,4.930772739189,0.0301407083211072
"SPAU",44,660,2.84589868820235,1.62775580908068,2.58064707089158,2.69004711956854,1.52719480164903,0,11.0837438423645,11.0837438423645,1.02600123973982,1.58798899422599,0.0633603089361048
"SPIN",45,660,0.161357473484627,0.299670094949129,0,0.0938402369085679,0,0,2.43013365735115,2.43013365735115,2.60671051057097,9.71367872438389,0.011664642625734
"SPP2",46,660,12.6839680001604,13.7317962264336,8.32503082551092,10.4783719514763,11.6922846295231,0,79.4171220400729,79.4171220400729,1.46138431227612,2.41173338882495,0.534509443185989
"STPR",47,660,2.9413565580309,2.6766565698733,2.06265958650663,2.67862647816041,3.05809910295473,0,11.3160100586756,11.3160100586756,0.615733495995155,-0.806516348989234,0.104188715676468
"SUAV",48,660,3.03586124570093,2.19359771887003,2.56784355649959,2.77748746734419,1.95576259513536,0,13.3222314737719,13.3222314737719,1.27369243721876,2.10200282381351,0.0853856754027724
"SYNE",49,660,1.43422195647469,1.18967335874438,1.21976137410743,1.30424295597635,1.16922846544505,0,8.33664152441445,8.33664152441445,1.50261079014988,4.29620372084491,0.0463079726839795
"THAC",50,660,0.352235677359077,0.494692813553142,0,0.259026020079768,0,0,3.60576923076923,3.60576923076923,2.21896922240987,8.00509628186233,0.0192558916517707
"THATD",51,660,3.92536635477818,3.30100574461037,2.99661982310194,3.50489681539135,2.68128111264564,0,18.2481751824817,18.2481751824817,1.25415317324997,1.55462469142119,0.128491474342515
"THVC",52,660,2.47124197350181,2.08051711710721,1.99533596386583,2.16545845353836,1.50545766121526,0,16.0957490713991,16.0957490713991,2.03283147129271,6.77816031295428,0.0809840189488968
"TIME",53,660,3.85664126738557,2.59710575332083,3.37505280194406,3.51736726034034,1.92994974129937,0,19.3939393939394,19.3939393939394,1.84711217512729,5.60914094409765,0.101092204341804
"TO",54,660,15.8222582715335,5.05951138679887,15.7636415730773,15.7348886513723,5.1165378891798,2.04081632653061,45.2488687782805,43.2080524517499,0.419483285710237,1.50122564534645,0.196941213629806
"TOBJ",55,660,1.17571945593993,1.03613534698355,1.01081483323088,1.03835215504832,0.917222307042218,0,7.24346076458753,7.24346076458753,1.44921722044285,3.26346665525373,0.0403315136817562
"TPP3",56,660,22.383344189496,13.6294170177239,19.867605516279,21.2051722820065,12.4088029049192,0,84.0016884761503,84.0016884761503,1.04617894317713,1.70068110750625,0.530524337891758
"TSUB",57,660,1.55956758594655,1.35982456932648,1.23102195532961,1.38319965658655,1.23014374909249,0,7.76866637893828,7.76866637893828,1.46039902960689,3.00372944186814,0.052931099573278
"TTR",58,660,0.500670454545455,0.067438608893156,0.515,0.503267045454545,0.0778365,0.3175,0.6525,0.335,-0.347567883107249,-0.897609556845148,0.00262504429095219
"VBD",59,660,24.8654779134481,16.2535690142752,20.7888435169523,22.8716295568994,13.4218886027947,1.18343195266272,86.1244019138756,84.9409699612129,1.20743065368568,1.5276769134556,0.632669315823484
"VPRT",60,660,58.8948597823627,21.4348962055212,58.8753551171445,59.0558798274939,21.96210623039,2.9535864978903,117.920868890613,114.967282392723,-0.0388045813238067,-0.354300775337024,0.834352203210503
"WHCL",61,660,0.997977958614484,1.00338952005448,0.812843757257534,0.841195437822285,0.770148967836622,0,5.99558220258757,5.99558220258757,1.50563641477344,2.77774175134667,0.0390568840972574
"WHOBJ",62,660,0.313055294025699,0.444468035890039,0,0.227746415249465,0,0,3.02114803625378,3.02114803625378,1.83917289263855,4.45087373100036,0.017300894832697
"WHQU",63,660,0.760788100908123,0.91906869408672,0.425260491265839,0.5976811850603,0.630491204350732,0,6.89655172413793,6.89655172413793,1.81290567410653,5.232956488989,0.0357747003979211
"WHSUB",64,660,1.56175824372769,1.42430975383529,1.23178246585097,1.37261032538524,1.2546386155706,0,9.36524453694069,9.36524453694069,1.56435314742274,3.91379426949462,0.0554411819759865
"WZPAST",65,660,1.02802039613347,1.17528821814993,0.78749820459367,0.82372072372699,1.16754483813058,0,7.44222483352918,7.44222483352918,2.01949892480189,5.64229980234793,0.0457480318457598
"WZPRES",66,660,2.69400244194849,1.69486911372214,2.45550249620143,2.52689911341066,1.67113296109748,0,9.59132610508757,9.59132610508757,1.10143993902688,1.78520095165812,0.0659726907762331
"XX0",67,660,8.94269900747337,4.88642940506084,8.35522366030202,8.66243117949521,5.28159451186912,0.240211386019697,24.9277456647399,24.6875342787202,0.492632100817722,-0.290807408098016,0.190204006627984
