"","Factor1","Factor2","Factor3","Factor4","Factor5"
"AMP",0.191,-0.032,0.291,0.023,-0.054
"ANDC",0.419,-0.322,0.05,0.083,0.123
"AWL",-0.885,0.071,-0.021,0.231,-0.061
"BEMA",0.419,-0.219,0.761,0.006,-0.034
"BYPA",-0.451,-0.052,0.038,0.272,0.036
"CAUS",0.322,0.069,0.191,0.033,-0.023
"CONC",-0.038,-0.13,0.074,-0.146,-0.013
"COND",0.411,0.497,-0.132,0.009,-0.224
"CONJ",-0.442,0.009,0.188,0.349,-0.099
"CONT",0.919,-0.078,0.048,-0.088,-0.068
"DEMO",0.324,0.256,0.146,0.161,-0.093
"DEMP",0.759,0.019,0.106,0.061,-0.082
"DPAR",0.737,-0.081,-0.017,-0.055,0.035
"DWNT",-0.424,0.083,0.154,-0.094,-0.036
"EMPH",0.507,-0.183,0.326,-0.139,-0.027
"EX",0.426,0.139,-0.009,-0.03,-0.06
"FPP1",0.67,-0.004,0.121,-0.038,0.147
"GER",-0.306,-0.003,-0.112,-0.028,-0.119
"HDG",0.746,-0.128,0,0.048,-0.024
"INPR",-0.067,0.162,0.063,-0.279,0.095
"JJ",-0.871,-0.105,0.247,0.037,-0.167
"NEMD",-0.061,0.349,0.023,0.156,-0.082
"NN",-0.758,-0.139,-0.258,-0.073,-0.069
"NOMZ",-0.557,0.205,-0.047,0.543,-0.116
"OSUB",-0.179,0.097,0.031,-0.02,-0.063
"PASS",-0.391,0.053,-0.015,0.427,0.062
"PASTP",-0.14,-0.107,-0.238,0.01,0.07
"PEAS",-0.599,0.218,0.114,-0.135,0.167
"PHC",-0.721,-0.187,0.248,0.164,-0.003
"PIN",-0.838,0.037,-0.104,0.053,-0.041
"PIRE",-0.268,0.016,0.021,0.343,0.008
"PIT",0.671,-0.12,0.109,-0.186,-0.094
"PLACE",-0.204,-0.047,-0.174,-0.501,-0.028
"POMD",0.251,0.441,-0.157,0.027,-0.173
"PRED",0.012,-0.185,0.825,0.121,0.031
"PRESP",-0.186,-0.118,-0.21,-0.174,-0.007
"PRIV",0.783,0.011,0.145,0.145,0.11
"PRMD",0.218,0.521,-0.237,-0.103,-0.081
"PROD",0.647,0.086,0.003,-0.003,-0.028
"PUBV",0.036,0.504,-0.339,-0.008,0.266
"RB",0.426,0.034,0.358,-0.292,-0.011
"SERE",-0.271,-0.1,-0.034,0.017,-0.01
"SMP",-0.253,0.022,0.205,-0.143,0.054
"SPAU",-0.387,0.212,0.227,0.012,-0.011
"SPIN",-0.055,0.08,0.101,0.001,-0.078
"SPP2",0.779,0.107,-0.04,0.097,-0.053
"STPR",0.654,0.016,-0.193,-0.056,-0.065
"SUAV",-0.179,0.613,-0.252,0.111,0.006
"SYNE",-0.08,0.239,0.169,-0.117,0.074
"THAC",-0.089,0.217,0.228,0.061,-0.024
"THATD",0.718,0.067,-0.007,0.004,0.159
"THVC",-0.005,0.38,0,0.204,0.114
"TIME",-0.097,0.068,-0.189,-0.42,0.039
"TO",0.043,0.586,-0.064,-0.065,-0.165
"TOBJ",-0.095,0.408,0.05,0.12,0.062
"TPP3",0.224,-0.009,0.103,-0.242,0.347
"TSUB",-0.381,0.149,0.143,-0.002,-0.01
"TTR",-0.879,0.014,0.056,-0.212,-0.024
"VBD",0.129,-0.162,-0.01,-0.115,0.956
"VPRT",0.679,0.037,0.256,-0.022,-0.473
"WHCL",0.599,0.132,0.039,0.054,0.09
"WHOBJ",-0.042,0.119,0.064,0.062,-0.017
"WHQU",0.391,0.001,0.216,-0.012,0.139
"WHSUB",-0.311,0.21,0.134,0.051,0.039
"WZPAST",-0.455,-0.003,-0.102,0.351,0.037
"WZPRES",-0.069,0.048,-0.141,-0.147,-0.143
"XX0",0.623,0.178,0.257,-0.01,0.127
